modified_sim,modified_data,baseline_data,Better,Worse,Same,2% worse
bs,62,62,0,0,1,0
dijkstra,79,93,0,1,0,0
fibcall,93,93,0,0,1,0
frac,74,77,0,1,0,0
median,74,72,1,0,0,0
rv64ui-p-blt,61,61,0,0,1,0
sglib-arraybinsearch,87,89,0,1,0,1
towers,68,62,1,0,0,0
vvadd,98,98,0,0,1,0
rv64ui-p-add,74,74,0,0,1,0
rv64ui-p-addi,77,77,0,0,1,0
rv64ui-p-addiw,77,77,0,0,1,0
rv64ui-p-addw,74,74,0,0,1,0
rv64ui-p-and,70,70,0,0,1,0
rv64ui-p-andi,68,68,0,0,1,0
rv64ui-p-auipc,50,50,0,0,1,0
rv64ui-p-beq,61,61,0,0,1,0
rv64ui-p-bge,54,54,0,0,1,0
rv64ui-p-bgeu,54,54,0,0,1,0
rv64ui-p-bltu,61,61,0,0,1,0
rv64ui-p-bne,58,58,0,0,1,0
rv64ui-p-fence_i,94,94,0,0,1,0
rv64ui-p-jal,50,50,0,0,1,0
rv64ui-p-jalr,50,50,0,0,1,0
rv64ui-p-lb,77,77,0,0,1,0
rv64ui-p-lbu,77,77,0,0,1,0
rv64ui-p-lh,77,77,0,0,1,0
rv64ui-p-lhu,77,77,0,0,1,0
rv64ui-p-lw,77,77,0,0,1,0
rv64ui-p-lwu,77,77,0,0,1,0
rv64ui-p-ld,77,77,0,0,1,0
rv64ui-p-lui,66,66,0,0,1,0
rv64ui-p-or,70,70,0,0,1,0
rv64ui-p-ori,68,68,0,0,1,0
rv64ui-p-sb,75,75,0,0,1,0
rv64ui-p-sh,75,75,0,0,1,0
rv64ui-p-sw,75,75,0,0,1,0
rv64ui-p-sd,75,75,0,0,1,0
rv64ui-p-simple,33,33,0,0,1,0
rv64ui-p-sll,77,77,0,0,1,0
rv64ui-p-slli,79,79,0,0,1,0
rv64ui-p-slliw,79,79,0,0,1,0
rv64ui-p-sllw,77,77,0,0,1,0
rv64ui-p-slt,74,74,0,0,1,0
rv64ui-p-slti,77,77,0,0,1,0
rv64ui-p-sltiu,77,77,0,0,1,0
rv64ui-p-sltu,74,74,0,0,1,0
rv64ui-p-sra,76,76,0,0,1,0
rv64ui-p-srai,77,77,0,0,1,0
rv64ui-p-sraiw,80,80,0,0,1,0
rv64ui-p-sraw,77,77,0,0,1,0
rv64ui-p-srl,76,76,0,0,1,0
rv64ui-p-srli,77,77,0,0,1,0
rv64ui-p-srliw,79,79,0,0,1,0
rv64ui-p-srlw,77,77,0,0,1,0
rv64ui-p-sub,74,74,0,0,1,0
rv64ui-p-subw,74,74,0,0,1,0
rv64ui-p-xor,70,70,0,0,1,0
rv64ui-p-xori,68,68,0,0,1,0
rv64ua-p-amoadd_d,75,75,0,0,1,0
rv64ua-p-amoadd_w,75,75,0,0,1,0
rv64ua-p-amoand_d,75,75,0,0,1,0
rv64ua-p-amoand_w,75,75,0,0,1,0
rv64ua-p-amomax_d,75,75,0,0,1,0
rv64ua-p-amomax_w,75,75,0,0,1,0
rv64ua-p-amomaxu_w,75,75,0,0,1,0
rv64ua-p-amomaxu_d,75,75,0,0,1,0
rv64ua-p-amomin_d,75,75,0,0,1,0
rv64ua-p-amomin_w,75,75,0,0,1,0
rv64ua-p-amominu_w,75,75,0,0,1,0
rv64ua-p-amominu_d,75,75,0,0,1,0
rv64ua-p-amoor_d,75,75,0,0,1,0
rv64ua-p-amoor_w,75,75,0,0,1,0
rv64ua-p-amoswap_d,75,75,0,0,1,0
rv64ua-p-amoswap_w,75,75,0,0,1,0
rv64ua-p-amoxor_d,75,75,0,0,1,0
rv64ua-p-amoxor_w,75,75,0,0,1,0
rv64ua-p-lrsc,50,50,0,0,1,0
rv64um-p-mul,72,72,0,0,1,0
rv64um-p-mulh,90,90,0,0,1,0
rv64um-p-mulhsu,90,90,0,0,1,0
rv64um-p-mulhu,91,91,0,0,1,0
rv64um-p-mulw,70,70,0,0,1,0
rv64um-p-div,76,76,0,0,1,0
rv64um-p-divu,76,76,0,0,1,0
rv64um-p-divuw,76,76,0,0,1,0
rv64um-p-divw,76,76,0,0,1,0
rv64um-p-rem,76,76,0,0,1,0
rv64um-p-remu,76,76,0,0,1,0
rv64um-p-remuw,76,76,0,0,1,0
rv64um-p-remw,78,78,0,0,1,0
rv64ui-pt-add,74,74,0,0,1,0
rv64ui-pt-addi,77,77,0,0,1,0
rv64ui-pt-addiw,77,77,0,0,1,0
rv64ui-pt-addw,74,74,0,0,1,0
rv64ui-pt-and,70,70,0,0,1,0
rv64ui-pt-andi,68,68,0,0,1,0
rv64ui-pt-auipc,50,50,0,0,1,0
rv64ui-pt-beq,63,63,0,0,1,0
rv64ui-pt-bge,56,56,0,0,1,0
rv64ui-pt-bgeu,56,56,0,0,1,0
rv64ui-pt-blt,63,63,0,0,1,0
rv64ui-pt-bltu,62,62,0,0,1,0
rv64ui-pt-bne,59,59,0,0,1,0
rv64ui-pt-jal,50,50,0,0,1,0
rv64ui-pt-jalr,50,50,0,0,1,0
rv64ui-pt-lb,77,77,0,0,1,0
rv64ui-pt-lbu,77,77,0,0,1,0
rv64ui-pt-lh,77,77,0,0,1,0
rv64ui-pt-lhu,77,77,0,0,1,0
rv64ui-pt-lw,77,77,0,0,1,0
rv64ui-pt-lwu,77,77,0,0,1,0
rv64ui-pt-ld,77,77,0,0,1,0
rv64ui-pt-lui,66,66,0,0,1,0
rv64ui-pt-or,73,73,0,0,1,0
rv64ui-pt-ori,68,68,0,0,1,0
rv64ui-pt-sb,75,75,0,0,1,0
rv64ui-pt-sh,74,74,0,0,1,0
rv64ui-pt-sw,74,74,0,0,1,0
rv64ui-pt-sd,78,78,0,0,1,0
rv64ui-pt-sll,78,78,0,0,1,0
rv64ui-pt-slli,78,78,0,0,1,0
rv64ui-pt-slliw,78,78,0,0,1,0
rv64ui-pt-sllw,79,79,0,0,1,0
rv64ui-pt-slt,73,73,0,0,1,0
rv64ui-pt-slti,77,77,0,0,1,0
rv64ui-pt-sltiu,77,77,0,0,1,0
rv64ui-pt-sltu,73,73,0,0,1,0
rv64ui-pt-sra,76,76,0,0,1,0
rv64ui-pt-srai,77,77,0,0,1,0
rv64ui-pt-sraiw,77,77,0,0,1,0
rv64ui-pt-sraw,80,80,0,0,1,0
rv64ui-pt-srl,78,78,0,0,1,0
rv64ui-pt-srli,79,79,0,0,1,0
rv64ui-pt-srliw,76,76,0,0,1,0
